"Numéro du parti politique";"Nom du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux total de vote";"Nombre de circonscriptions en avance";"Taux de circonscriptions en avance"
"27";"Coalition avenir Québec - L'équipe François Legault";"C.A.Q.-É.F.L.";"1509455";"37.4226";"74";"59.2"
"6";"Parti libéral du Québec/Quebec Liberal Party";"P.L.Q./Q.L.P.";"1001037";"24.8178";"31";"24.8"
"8";"Parti québécois";"P.Q.";"687995";"17.0569";"10";"8.0"
"40";"Québec solidaire";"Q.S.";"649503";"16.1026";"10";"8.0"
"10";"Parti vert du Québec/Green Party of Québec";"P.V.Q./G.P.Q.";"67870";"1.6826";"0";"0.0"
"22";"Parti conservateur du Québec / Conservative Party of Québec";"P.C.Q./C.P.Q.";"59055";"1.4641";"0";"0.0"
"34";"Nouveau Parti démocratique du Québec";"N.P.D.Q.";"22863";"0.5668";"0";"0.0"
"31";"Citoyens au pouvoir du Québec";"C.P.Q.";"13768";"0.3413";"0";"0.0"
"0";"Candidats indépendants/Independent candidates";"Ind.";"6462";"0.1602";"0";"0.0"
"2";"Bloc pot";"B.P.";"4657";"0.1155";"0";"0.0"
"23";"Parti nul";"P.N.";"3659";"0.0907";"0";"0.0"
"7";"Parti marxiste-léniniste du Québec";"P.M.L.Q.";"1708";"0.0423";"0";"0.0"
"38";"Parti libre";"P.L.";"1678";"0.0416";"0";"0.0"
"29";"Équipe autonomiste";"É.A.";"1138";"0.0282";"0";"0.0"
"37";"Parti 51";"P51";"1117";"0.0277";"0";"0.0"
"36";"Changement intégrité pour notre Québec";"C.I.N.Q.";"693";"0.0172";"0";"0.0"
"41";"Alliance provinciale du Québec";"A.P.Q.";"521";"0.0129";"0";"0.0"
"45";"Voie du peuple";"V.P.";"190";"0.0047";"0";"0.0"
"42";"Parti culinaire du Québec";"P.Cu.Q.";"169";"0.0042";"0";"0.0"
